,Text
782,Word embedding and neural network on grammatical gender -- A case study of Swedish: We analyze the information prov by the word embeddings about thammatical gender in Swedish
783,We wish that this paper may serve as one of the bridges to connect the methods of computational linguistics and general linguistics
784,Taking nominal classification in Swedish as a case study we first show how the information about grammatical gender in language can be captured by word embedding models and artificial neural networks
785,"Then we match our results with previous linguistic hypotheses on assignment and usage of grammatical gender in Swedish and analyze the errors made by the computational model from a linguistic perspect
"
786,Effect of Text Processing Steps on Twitter Sentt Classification using Word Embedding: Processing of raw text is the crucial first step in text classification and sentt analysis
787,However text processing steps are often performed using off-the-shelf rout and pre-built word dictionaries without optimizing for domain application and context
788,This paper investigates the effect of seven text processing scenarios on a particular text domain (Twitter) and application (sentt classification)
789,Skip gram-based word embeddings are developed to include Twitter colloquial words emojis and hashtag keywords that are often removed for being unavailable in conventional lature corpora
790,Our experts reveal negateffects on sentt classification of two common text processing steps: 1) stop word removal and 2) averaging of word vectors to represent individual tweets
791,New effectsteps for 1) including non-ASCII emoji characters 2) measuring word importance from word embedding 3) aggregating word vectors into a tweet embedding and 4) developing lrly separable feature space have been proposed to optimthe sentt classification p The best combination of text processing steps yields the highest average area under the curve (AUC) of 88.4 (+/-0.4) in classifying 14640 tweets with three sentt labels
792,Word selection from context-dr word embedding reveals that only the ten most important words in Tweets cumulaty yield over 98% of the maximum accuracy
793,Results demonstrate a means for data-dr selection of important words in tweet classification as opposed to using pre-built word dictionaries
794,"The proposed tweet embedding is robust to and alleviates the need for several text processing steps.
"
795,Decomposing Word Embedding with the Capsule Network: Word sense disambiguation tries to learn the appropriate sense of an ambiguous word in a g context
796,The existing pre-tra language methods and the methods based on multbeddings of word did not explore the power of the unsuperv word embedding sufficiently
797,In this paper we discuss a capsule network-based approach taking advantage of capsule's potential for recognizing highly overlapping features and dealing with segmentation
798,We propose a Capsule network-based method to Decompose the unsuperv word Embedding of an ambiguous word into context specific Sense embedding called CapsDecE2S
799,In this approach the unsuperv ambiguous embedding is fed into capsule network to produce its multiple morpheme-lvectors which are def as the basic semantic language units of meaning
800,With attention operations CapsDecE2S integrates the word context to reconstruct the multiple morpheme-lvectors into the context-specific sense embedding
801,To train CapsDecE2S we propose a sense matching training method
802,In this method we convert the sense learning into a binary classification that explicitly learns the relation between senses by the label of matching and non-matching
803,The CapsDecE2S was expertally evaluated on two sense learning tasks  word in context and word sense disambiguation
804,"Results on two public corpora Word-in-Context and English all-words Word Sense Disambiguation show that the CapsDecE2S model achieves the new state-of-the-art for the word in context and word sense disambiguation tasks.
"
805,"
"
806,"
"
807,"
"
808,"
"
809,"
"
810,"
"
811,"
"
812,"
"
813,"
"
814,"
"
815,"
"
816,"
"
817,"
"
818,"
"
819,"
"
820,"
"
821,"
"
822,"
"
823,"
"
824,"
"
825,"
"
826,"
"
827,"
"
828,"
"
829,"
"
830,"
"
831,"
"
832,"
"
833,"
"
